date,recycle Aerosol Cans - Full,recycle Alkaline Batteries,recycle Aluminum Foil,recycle Antifreeze,recycle Asphalt,recycle Auto Parts,recycle Brick,recycle Brush,recycle CD Cases,recycle CDs,recycle Cables,recycle Car Batteries,recycle Carpet,recycle Cassette Tapes,recycle Cell Phones,recycle Chip Bags,recycle Christmas Trees,recycle Clothing,recycle Concrete,recycle Cooking Oil,recycle Cookware,recycle Corks,recycle Corrugated Cardboard,recycle Crayons,recycle DVDs,recycle Dirt,recycle Doors,recycle Envelopes,recycle Eyeglasses,recycle Fabric,recycle Fire Extinguishers,recycle Floppy Disks,recycle Fluorescent Tubes,recycle Gasoline,recycle Hair,recycle Halogen Bulbs,recycle Hard Drives,recycle Hardware,recycle Heaters,recycle Leaves,recycle Lithium Batteries,recycle Lumber,recycle Magazines,recycle Mattresses,recycle Microwaves,recycle Motor Oil,recycle Nail Polish,recycle Newspaper,recycle Office Paper,recycle Oil Filters,recycle Pallets,recycle Paper Cups,recycle Phone Books,recycle Pizza Boxes,recycle Printers,recycle Propane Tanks,recycle Refrigerators,recycle Sand,recycle Shoes,recycle Small Appliances,recycle Smoke Detectors,recycle Steel Cans,recycle Stone,recycle Tablets,recycle Tile,recycle Tires,recycle Toner Cartridges,recycle Tools,recycle Toothbrushes,recycle Toothpaste Tubes,recycle Toys,recycle Transmission Fluid,recycle Trophies,recycle Vehicles,recycle Water Filters,recycle Windows,recycle Wood,recycle Yard Waste
2015-01-25,45,58,0,23,0,52,38,0,22,34,24,0,22,22,46,15,5,8,43,0,0,31,31,31,0,0,25,30,30,24,0,0,26,0,38,27,0,89,53,49,0,24,36,65,0,31,0,19,46,46,14,0,39,49,65,29,30,0,30,50,100,0,59,0,30,41,37,29,57,0,0,0,24,0,33,68,8,23
2015-02-01,44,43,43,23,26,34,37,0,0,34,23,46,22,33,55,0,0,8,28,34,0,31,0,31,33,0,0,30,30,35,23,38,56,38,49,26,0,26,0,24,34,23,23,21,0,23,0,55,45,0,14,0,38,18,55,29,0,29,29,0,0,29,58,0,12,18,28,28,0,0,42,28,23,0,33,75,6,0
2015-02-08,29,57,29,23,26,26,56,22,0,50,0,0,22,22,65,0,0,13,34,46,0,0,0,30,0,0,0,30,59,46,23,0,19,0,41,26,0,26,0,24,0,47,23,0,0,45,0,27,45,0,14,0,0,18,42,29,29,0,29,82,0,0,0,0,12,32,18,28,28,0,28,0,23,44,33,64,7,22
2015-02-15,60,29,29,23,39,26,38,22,22,26,0,47,45,22,51,15,0,13,43,46,0,31,0,31,67,0,25,0,30,35,24,19,19,0,76,27,53,27,27,0,52,47,47,22,46,46,60,28,0,0,14,0,0,25,37,29,30,30,50,67,33,30,30,0,12,20,20,29,0,0,43,0,24,45,33,58,7,23
2015-02-22,0,38,0,45,26,51,37,0,0,25,46,0,44,0,65,15,0,10,28,34,0,31,0,30,33,24,24,59,40,47,0,0,31,38,37,26,0,26,26,0,25,0,23,32,23,68,0,27,45,0,14,0,38,18,30,0,0,29,59,33,49,0,29,46,0,32,28,28,28,0,56,0,0,0,33,61,8,23
2015-03-01,30,29,29,0,26,39,0,44,22,34,23,23,22,22,50,0,0,10,23,46,0,31,31,0,0,24,24,0,45,0,24,0,38,0,100,0,26,53,26,24,38,35,47,0,23,38,59,37,45,45,14,0,39,37,55,0,29,0,39,0,0,0,29,0,12,48,20,57,0,0,28,28,0,0,0,65,12,0
2015-03-08,0,30,30,47,79,53,0,0,23,35,0,24,45,0,67,15,0,7,17,0,31,0,0,32,34,25,25,31,31,36,48,19,29,39,25,0,41,27,0,25,26,0,24,22,70,23,0,19,46,0,14,14,39,19,47,30,0,30,25,0,68,30,30,0,25,62,41,29,0,0,29,0,0,46,34,66,13,23
2015-03-15,0,45,30,0,54,62,38,23,0,26,24,36,53,0,47,0,0,19,41,47,0,32,42,32,34,26,50,31,93,24,24,0,33,0,26,27,0,27,27,25,27,36,24,22,24,71,0,47,46,0,35,0,40,29,32,45,31,30,31,0,0,0,60,0,19,37,33,30,29,29,39,29,24,45,34,70,11,0
2015-03-22,33,83,33,39,30,44,43,100,0,77,27,27,50,0,63,17,0,12,29,26,35,0,35,0,38,28,42,68,0,27,0,22,22,0,0,0,61,45,0,28,29,27,81,24,26,52,0,63,52,0,16,0,44,21,31,66,34,67,34,38,0,0,33,53,27,69,28,32,0,0,0,0,27,51,38,78,14,26
2015-03-29,31,46,31,49,28,37,100,0,23,54,99,25,71,24,59,0,0,14,73,24,33,33,33,33,36,26,26,80,48,50,0,41,41,0,54,0,28,71,0,26,27,38,50,46,0,57,63,49,0,0,22,0,0,39,46,31,63,31,32,0,35,31,31,0,13,43,30,30,0,0,31,30,25,47,53,67,21,36
2015-04-05,31,30,46,24,27,27,39,0,0,36,0,25,39,23,53,0,0,16,36,24,33,0,0,0,0,25,25,31,94,33,24,20,70,60,53,0,28,42,28,25,54,25,62,23,24,32,63,29,47,0,14,0,40,0,29,91,62,31,36,58,0,0,31,0,25,51,46,30,30,30,30,0,37,0,0,60,10,48
2015-04-12,46,30,45,48,0,54,39,23,0,26,24,24,35,23,47,16,0,18,41,72,0,0,0,32,0,25,26,0,0,98,0,0,20,59,39,0,41,28,41,50,53,49,73,0,24,47,0,38,47,47,29,0,40,19,38,45,31,31,26,69,0,30,31,49,12,46,38,30,30,0,59,0,24,0,34,79,25,24
2015-04-19,0,60,50,36,27,80,39,23,46,26,24,0,46,23,62,16,0,18,29,24,0,32,0,48,34,51,25,31,41,24,0,0,59,79,52,27,27,37,27,25,53,24,49,0,0,24,0,57,47,0,21,0,40,32,76,30,30,31,56,34,0,30,91,0,19,100,31,29,0,30,89,0,24,0,34,68,19,55
2015-04-26,0,30,30,24,80,63,0,23,23,26,25,24,23,23,68,0,5,19,44,24,0,32,32,0,0,0,26,0,0,33,0,20,40,40,39,28,0,46,28,50,27,48,37,23,0,56,0,29,47,0,14,0,0,19,32,61,30,31,46,35,34,46,46,0,29,63,25,40,0,0,30,0,25,0,35,66,15,59
2015-05-03,0,46,31,25,0,55,80,23,23,18,0,25,47,24,40,0,0,13,30,25,0,66,0,33,35,35,26,32,64,33,0,0,20,41,44,0,38,38,28,0,28,0,25,23,37,98,0,20,0,97,22,0,41,39,33,31,0,31,16,0,0,0,31,100,0,52,21,30,30,0,30,0,38,0,35,64,15,49
2015-05-10,32,79,31,0,0,71,41,0,48,18,25,38,0,24,60,0,0,14,83,25,0,0,0,34,36,54,27,65,32,26,0,21,21,41,27,0,29,86,0,26,56,25,51,23,25,62,0,100,0,0,30,0,0,20,30,47,0,32,48,0,0,48,48,0,20,53,26,0,0,0,62,31,26,0,36,36,12,25
2015-05-17,0,32,32,0,48,57,41,0,24,37,39,52,41,37,61,17,0,19,44,0,0,34,34,0,37,27,41,66,33,52,0,21,73,84,28,0,29,39,58,0,57,0,52,0,25,38,0,41,0,0,0,15,43,41,34,64,65,65,33,36,37,0,32,52,0,84,47,0,31,31,31,0,44,0,0,59,11,37
2015-05-24,33,33,49,26,0,88,43,25,37,19,0,66,25,25,17,0,0,8,26,26,0,0,0,0,38,0,28,34,34,27,27,22,58,43,42,0,0,30,30,27,29,27,67,24,0,26,0,52,0,0,31,0,0,42,52,99,34,67,62,0,37,0,50,0,0,55,48,32,32,32,0,0,27,0,38,52,16,60
2015-05-31,33,54,32,0,29,58,56,0,24,38,26,52,0,61,67,0,0,8,38,38,51,34,0,0,37,0,27,50,33,52,26,0,42,56,28,0,0,69,0,27,0,26,65,24,25,34,0,31,100,0,15,0,0,20,48,97,33,65,44,37,37,0,33,0,13,63,36,32,0,0,63,0,26,49,37,82,12,42
2015-06-07,66,50,33,0,58,73,84,25,0,77,0,44,51,25,57,17,6,13,26,0,0,0,0,0,0,28,28,34,51,40,26,22,32,86,28,0,30,60,0,0,0,27,54,24,26,39,0,21,0,0,23,0,44,21,21,33,33,66,34,75,37,0,33,0,14,41,21,48,0,0,65,32,27,0,38,84,10,43
2015-06-14,100,54,33,26,29,68,0,37,25,48,26,26,25,0,68,17,0,11,38,52,0,35,0,0,37,55,28,0,34,26,0,21,54,0,56,0,0,60,0,27,0,27,0,36,39,26,100,62,0,0,31,31,43,21,48,33,33,33,45,0,0,0,33,52,0,36,41,32,0,0,32,0,27,0,37,85,14,51
2015-06-21,34,33,0,26,59,44,42,0,0,39,0,26,50,25,45,0,0,6,38,26,0,0,35,35,75,27,41,33,34,40,27,0,32,43,28,30,30,45,0,0,59,0,40,0,0,64,67,21,51,0,15,0,44,52,21,50,33,33,33,38,0,0,100,0,14,41,36,32,0,0,32,32,0,0,38,65,16,51
2015-06-28,0,51,34,54,30,30,0,26,26,59,0,27,26,52,53,0,0,6,46,27,0,0,0,0,38,57,29,35,0,55,27,0,89,0,29,0,61,51,31,0,45,27,27,50,27,27,69,21,0,0,16,0,45,43,21,45,52,34,64,0,0,0,69,55,14,75,14,100,33,0,33,0,28,0,39,68,18,0
2015-07-05,33,65,33,26,58,58,0,0,0,29,26,0,100,33,90,17,0,17,29,51,0,0,69,35,0,0,55,34,34,79,26,21,21,43,28,0,30,30,30,0,43,27,26,36,26,69,0,31,51,0,46,0,0,41,41,33,33,99,33,37,0,33,49,0,14,86,36,32,0,0,32,32,27,0,37,72,13,51
2015-07-12,33,33,33,26,29,73,42,25,0,28,52,52,86,25,39,0,0,11,32,26,0,34,35,0,74,27,27,33,34,26,0,21,49,0,37,0,29,45,0,0,28,0,26,24,0,43,0,41,0,0,23,15,0,41,34,32,33,33,55,0,37,33,0,0,14,27,31,32,0,32,42,32,0,0,36,52,16,38
2015-07-19,0,33,0,65,29,44,64,25,50,48,53,66,76,51,63,17,0,13,52,52,0,35,0,0,38,0,28,57,51,27,0,0,43,0,28,30,30,60,0,0,29,0,27,24,26,52,0,31,51,0,23,16,44,52,77,44,33,100,22,76,37,0,33,0,14,23,37,49,0,33,32,0,40,51,75,57,5,39
2015-07-26,0,32,0,0,0,58,42,0,25,66,0,52,25,24,78,0,0,8,47,26,69,0,0,34,73,0,27,0,34,26,26,21,53,42,42,0,0,0,39,27,43,26,52,24,26,50,0,20,0,0,15,15,43,27,48,32,65,33,33,37,37,32,33,0,0,72,20,63,0,0,0,32,26,0,37,95,22,25
