date,recycle #1 Plastic,recycle #2 Plastic,recycle #3 Plastic,recycle #4 Plastic,recycle #5 Plastic,recycle #6 Plastic,recycle #7 Plastic,recycle Acids,recycle Adhesives,recycle Adult Toys,recycle Aerosol Cans - Full,recycle Air Conditioners,recycle Alkaline Batteries,recycle Aluminum Beverage Cans,recycle Aluminum Foil,recycle Aluminum Food Cans,recycle Aluminum Pie Plates,recycle Aluminum Trays,recycle Ammunition,recycle Antifreeze,recycle Arts and Crafts Supplies,recycle Asbestos,recycle Asphalt,recycle Audio Equipment,recycle Auto Bodies,recycle Auto Parts,recycle Baby Products,recycle Barbeque Grills,recycle Bicycles,recycle Bike Tires,recycle Branches,recycle Brick,recycle Brown Glass Beverage Containers,recycle Brown Glass Containers,recycle Brush,recycle Button Cell Batteries,recycle CD Cases,recycle CD Players,recycle CDs,recycle CFLs,recycle CRT Computer Monitors,recycle CRT Televisions,recycle Cables,recycle Calculators,recycle Candy Wrappers,recycle Car Batteries,recycle Car Fluids,recycle Carpet,recycle Carpet Padding,recycle Cassette Players,recycle Cassette Tapes,recycle Ceiling Tiles,recycle Cell Phone Accessories,recycle Cell Phones,recycle Ceramic Tile,recycle Chemistry Sets,recycle Chip Bags,recycle Christmas Trees,recycle Cigarettes,recycle Clear Glass Beverage Containers,recycle Clear Glass Containers,recycle Clothing,recycle Compostable Plastics,recycle Computer Peripherals - External,recycle Computer Peripherals - Internal,recycle Concrete,recycle Construction Debris,recycle Construction Materials,recycle Contaminated Soil,recycle Contaminated Wood,recycle Controlled Substances,recycle Cooking Oil,recycle Cookware,recycle Corks,recycle Corrugated Cardboard,recycle Crayons,recycle Curling Irons,recycle DVD Players,recycle DVDs,recycle Dehumidifiers,recycle Desktop Computers,recycle Digital Cameras,recycle Dirt,recycle Doors,recycle Drink Boxes,recycle Drink Pouches,recycle Electronic Servers,recycle Engine Degreasers,recycle Envelopes,recycle Exit Signs,recycle Explosives,recycle Eyeglasses,recycle Fabric,recycle Ferrous Metals,recycle Fertilizers,recycle Fire Extinguishers,recycle Flip-Flops,recycle Floppy Disks,recycle Fluorescent Tubes,recycle Freezers,recycle Gas/Oil Mixture,recycle Gasoline,recycle Gift Bags,recycle Glue Sticks,recycle Grass Clippings,recycle Green Glass Beverage Containers,recycle Green Glass Containers,recycle Gypsum Drywall,recycle HHW,recycle Hair,recycle Hair Dye,recycle Hair Spray,recycle Halogen Bulbs,recycle Hard Drives,recycle Hardware,recycle Hay,recycle Heaters,recycle Herbicides,recycle Holiday Greens,recycle Home Electronics,recycle Incandescent Lightbulbs,recycle Inkjet Cartridges,recycle Innertubes,recycle Insecticides,recycle Items Containing Mercury,recycle Kerosene,recycle LCD Computer Monitors,recycle LCD Televisions,recycle Lacquer,recycle Laptop Computers,recycle Latex Foam Pillows,recycle Latex Paint,recycle Lead Paint Chips,recycle Lead-acid Batteries - Non-automotive,recycle Leaves,recycle Linoleum,recycle Lithium Batteries,recycle Lithium-ion Batteries,recycle Lumber,recycle MP3 Players,recycle Magazines,recycle Manure,recycle Marine Batteries,recycle Mattresses,recycle Medical Equipment - Handheld,recycle Medical Equipment - Large,recycle Medical Sharps,recycle Medication Containers,recycle Medications,recycle Mercury Thermostats,recycle Metal Clothes Hangers,recycle Metal Paint Cans,recycle Metal Tags,recycle Microwaves,recycle Mixed Paper,recycle Motor Oil,recycle Motor Oil Containers,recycle Multi-wall Paper Bags,recycle Musical Instruments - Metal,recycle Musical Instruments - Non-metal,recycle Nail Polish,recycle Nail Polish Removers,recycle Neon Lights,recycle Newspaper,recycle Nickel-cadmium Batteries,recycle Nickel-metal Hydride Batteries,recycle Nickel-zinc Batteries,recycle Non-Organic Food Waste,recycle Nonferrous Metals,recycle Office Furniture,recycle Office Machines,recycle Office Paper,recycle Office Supplies,recycle Oil Filters,recycle Oil-Based Paint,recycle Pallets,recycle Paper Cups,recycle Paper Labels,recycle Paper Shredders,recycle Paper Sleeves,recycle Paperback Books,recycle Paperboard,recycle Perfumes,recycle Pesticide Containers,recycle Pesticides,recycle Phone Books,recycle Photographic Chemicals,recycle Pizza Boxes,recycle Plastic Bottle Accessories,recycle Plastic Buckets,recycle Plastic Cards,recycle Plastic Egg Cartons,recycle Plastic Furniture,recycle Plastic Packing Materials,recycle Plastic Paint Cans,recycle Power Tools,recycle Printers,recycle Projectors,recycle Propane Tanks,recycle Radiators,recycle Receivers,recycle Record Players,recycle Refrigerators,recycle Road Flares,recycle Roofing Materials,recycle Sand,recycle Sawdust,recycle Scanners,recycle Sealers,recycle Shingles,recycle Shoes,recycle Silver-oxide Batteries,recycle Six-pack Rings,recycle Small Appliances,recycle Smoke Detectors,recycle Solvents,recycle Sporting Goods,recycle Steel Cans,recycle Steel Lids,recycle Stone,recycle String Lights,recycle Stumps,recycle Surfboards,recycle Synthetic Cork,recycle Tablets,recycle Telephones,recycle Television Accessories,recycle Tennis Balls,recycle Tile,recycle Tires,recycle Toasters,recycle Toner Cartridges,recycle Tools,recycle Toothbrushes,recycle Toothpaste Tubes,recycle Toys,recycle Transmission Fluid,recycle Trophies,recycle Truck Tires,recycle Two-Way Radios,recycle Vehicles,recycle Video Game Cartridges,recycle Video Game Peripherals,recycle Video Tapes,recycle Vinyl Records,recycle Washer/Dryers,recycle Water Filters,recycle Weeds,recycle Wet-strength Paperboard,recycle Windows,recycle Wood,recycle Wood Chips,recycle Wood Furnishings,recycle Wood Stains,recycle X-rays,recycle Yard Waste,recycle Yoga Mats,recycle Zinc-air Batteries,recycle Zinc-carbon Batteries
2015-01-25,0,34,0,0,52,58,39,0,0,0,30,0,30,0,20,0,0,0,0,45,0,0,25,0,0,50,0,0,0,0,0,27,0,0,18,0,18,0,39,0,0,0,24,0,0,21,0,55,0,0,12,0,0,48,0,0,5,4,4,0,0,23,0,0,0,31,0,23,0,0,0,15,0,0,15,0,0,0,32,0,21,0,0,35,0,0,0,0,20,0,0,20,27,0,0,17,0,0,23,0,0,37,0,0,0,0,0,0,0,56,0,0,19,31,62,0,0,0,0,0,0,31,0,0,0,0,0,0,0,40,0,25,0,0,25,0,21,0,31,0,91,0,0,17,0,0,0,0,26,0,0,0,0,32,0,28,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,40,0,18,36,0,0,0,41,0,0,0,0,13,0,20,0,0,0,0,48,0,0,0,34,0,14,0,0,0,22,0,0,32,0,0,0,0,24,0,0,9,9,0,0,19,0,19,0,0,0,0,0,0,0,0,18,42,0,58,25,19,0,33,17,17,0,0,0,0,0,0,0,0,1,0,0,77,28,0,0,0,0,24,0,0,0
2015-02-01,0,0,0,69,35,78,39,39,0,0,41,0,41,0,20,0,0,0,0,36,0,0,25,0,0,30,0,0,0,0,18,0,0,0,18,0,12,0,43,0,0,0,60,0,24,35,0,90,0,0,18,0,0,52,0,0,4,4,7,0,0,47,0,0,0,39,0,0,0,0,0,62,0,31,0,58,0,0,19,0,0,0,0,21,0,0,0,0,20,0,0,13,33,0,0,17,0,0,35,0,0,0,0,0,0,0,0,0,0,73,0,0,19,19,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,32,0,32,0,34,17,0,34,0,0,0,0,0,0,0,0,0,32,0,17,0,0,0,0,16,0,0,65,0,0,0,0,0,30,0,40,0,27,0,30,36,0,0,0,42,42,0,0,0,13,0,20,0,0,0,0,48,0,0,0,43,0,14,0,0,0,0,0,0,0,0,0,0,0,60,0,0,9,9,0,0,19,0,57,0,0,0,0,47,0,0,9,12,37,0,67,13,0,0,25,34,17,0,0,35,0,0,69,0,0,1,0,0,68,68,0,0,0,0,0,0,0,0
2015-02-08,0,0,0,0,69,0,0,0,0,0,20,0,47,0,0,0,0,0,0,27,0,0,42,0,0,40,0,0,0,0,0,25,0,0,18,0,0,0,39,0,0,0,0,0,0,21,0,49,0,0,12,0,0,48,0,0,0,0,0,0,0,32,0,0,0,27,0,23,0,0,0,31,0,16,0,19,0,0,19,0,0,0,21,0,0,0,0,0,40,0,0,40,27,0,0,17,0,17,17,0,0,0,0,0,0,0,0,0,0,76,0,0,19,19,31,0,38,0,0,0,0,32,0,0,0,0,0,0,0,41,0,0,0,0,50,0,21,0,21,0,40,0,0,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,16,0,0,38,0,0,0,0,0,0,0,54,0,27,0,36,18,0,0,0,83,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,39,0,29,0,0,0,22,0,0,43,0,0,0,0,21,0,0,14,0,0,0,0,0,19,0,0,0,0,23,0,0,0,18,33,0,46,12,12,0,39,17,0,0,0,0,0,0,34,0,0,1,0,0,62,58,0,0,0,0,49,0,0,0
2015-02-15,35,0,0,0,0,80,80,0,0,0,0,0,31,0,20,0,0,0,0,37,0,0,77,0,0,41,0,0,0,0,0,37,0,0,19,0,18,0,52,0,0,0,48,0,0,42,0,35,0,0,12,0,0,61,0,0,4,4,4,0,0,33,0,0,0,47,0,0,0,0,0,40,0,16,0,39,0,0,26,0,21,0,21,22,0,0,0,0,20,0,0,14,20,0,0,18,0,18,35,0,0,0,0,0,0,0,0,0,0,29,0,0,19,25,32,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,29,0,21,0,47,0,0,18,0,0,0,0,26,0,0,0,0,66,0,17,0,0,0,0,25,0,0,49,0,0,0,0,0,31,0,41,0,0,0,18,18,0,0,0,42,0,0,0,0,13,0,27,0,0,49,0,49,0,0,0,29,0,15,0,0,0,0,0,0,33,0,0,0,0,55,0,0,18,18,0,0,19,0,26,0,0,0,0,24,0,0,0,12,37,0,89,21,0,0,62,0,25,0,0,35,0,0,35,0,0,1,0,0,71,50,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,38,0,0,0,0,20,0,40,0,60,0,0,0,0,27,0,0,25,0,0,40,0,0,0,0,0,28,0,0,18,0,12,0,67,0,0,0,24,0,24,28,0,62,0,0,18,0,0,64,0,0,3,0,0,0,0,44,0,0,0,31,0,0,0,0,0,23,0,15,0,38,0,0,29,0,0,0,0,42,0,0,0,0,40,0,0,27,26,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,67,0,0,0,19,50,0,37,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,25,0,21,0,21,0,51,0,0,23,0,0,0,0,26,0,0,0,0,64,0,17,0,0,0,0,16,0,0,53,0,0,0,0,0,30,0,53,0,27,0,36,0,0,0,0,0,41,0,0,0,26,0,20,0,0,0,0,48,0,0,0,48,0,58,0,0,0,22,0,0,43,0,0,0,0,45,0,0,9,18,0,0,0,0,19,0,0,0,0,23,0,0,0,0,21,0,66,12,0,0,50,17,0,0,0,35,0,0,34,0,0,1,0,0,66,56,0,0,0,0,25,0,0,0
2015-03-01,0,0,0,35,34,39,39,39,0,0,20,0,53,0,30,0,0,0,0,18,0,0,25,0,0,20,0,0,0,0,18,27,0,0,0,0,12,0,27,0,0,0,32,0,0,21,0,27,0,0,12,0,0,56,0,0,0,0,4,0,0,26,0,0,0,54,0,12,0,0,0,23,0,31,0,19,0,0,28,0,42,0,35,21,0,0,0,0,20,0,0,20,53,0,0,17,0,17,29,0,0,0,0,0,0,0,0,0,0,56,0,0,25,31,74,0,37,0,0,0,0,31,0,0,0,0,0,0,0,40,0,0,0,0,50,0,21,0,41,0,34,0,0,17,0,0,0,0,0,0,0,0,0,64,0,28,0,0,0,0,32,0,0,48,0,0,0,0,0,30,0,27,0,26,0,36,18,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0,0,67,0,14,0,0,0,21,0,0,0,0,0,0,0,36,0,0,9,9,0,0,0,0,37,0,0,0,0,35,0,0,0,12,51,0,33,29,0,0,58,17,50,0,0,0,0,0,52,0,0,1,0,0,70,67,0,0,0,0,24,0,0,0
2015-03-08,0,0,0,0,0,38,0,0,0,0,20,0,47,0,33,0,0,0,0,36,0,0,49,0,0,69,0,0,0,0,18,18,0,0,0,0,23,0,54,0,0,0,24,0,24,34,0,41,0,0,12,0,0,55,0,0,0,3,3,0,0,43,0,0,0,34,0,23,0,0,0,15,0,0,0,19,0,0,38,0,21,0,21,31,0,0,0,0,40,0,0,20,31,0,0,34,0,34,43,0,0,25,25,0,0,0,0,0,0,50,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,21,0,42,0,51,0,0,17,0,0,0,0,0,0,0,0,0,80,0,34,0,0,0,0,16,0,0,69,0,0,0,0,0,29,0,26,0,26,0,27,18,0,0,0,0,0,0,0,0,19,0,19,0,0,48,0,0,0,0,0,52,0,14,0,0,0,43,0,0,21,0,0,0,0,41,0,0,9,9,0,0,0,0,19,0,0,0,0,23,0,0,0,18,48,0,57,31,0,25,33,0,0,0,0,51,0,0,34,0,0,2,0,0,80,64,0,0,0,0,49,0,0,0
2015-03-15,34,0,0,51,46,38,0,38,0,0,30,0,20,0,20,0,0,0,0,18,0,0,49,0,0,59,0,0,0,0,0,27,0,0,0,0,12,0,39,0,0,0,24,0,0,31,0,51,0,0,12,0,0,51,0,0,0,0,0,0,0,55,0,0,0,34,0,0,0,0,0,46,15,15,15,19,0,0,19,0,0,0,21,42,0,0,0,0,20,0,0,13,26,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,55,0,0,18,0,37,0,61,0,0,0,0,0,0,0,0,0,0,0,0,40,0,37,0,0,62,0,21,0,41,0,45,0,0,23,0,0,0,0,0,0,0,0,0,63,32,17,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,40,0,0,0,44,35,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,47,0,0,0,52,0,33,0,0,0,21,0,0,35,0,0,0,0,21,0,0,9,9,0,0,0,0,37,0,0,0,0,23,0,0,0,9,45,0,61,25,12,12,66,0,25,0,0,0,0,0,0,0,0,1,0,0,64,57,0,0,0,0,24,0,0,0
2015-03-22,0,0,0,37,37,0,42,0,0,0,22,0,43,0,22,0,0,0,0,29,0,0,0,0,0,32,0,0,0,0,20,0,0,0,29,0,13,0,29,0,0,0,38,0,26,44,0,22,0,0,0,0,0,81,0,0,4,0,4,0,0,25,0,0,0,46,0,0,0,0,0,33,0,17,0,21,0,0,34,0,0,0,23,23,0,0,0,0,29,0,0,21,28,0,0,19,0,37,37,0,0,0,27,0,0,0,0,0,0,48,0,0,0,20,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,22,0,45,0,46,18,0,0,0,0,0,0,28,0,0,0,0,34,0,49,0,0,0,0,17,0,0,69,0,0,0,0,0,32,0,29,0,0,0,77,0,0,0,0,0,0,0,0,0,14,0,28,0,0,51,0,51,0,0,0,36,0,23,0,0,0,23,0,0,23,0,0,0,0,42,0,0,13,10,0,0,20,0,20,0,0,0,0,62,0,0,0,16,62,0,73,13,0,13,36,0,18,0,0,0,0,0,0,0,0,2,0,0,72,62,0,0,0,0,35,0,0,0
2015-03-29,0,0,0,0,72,0,40,40,0,0,21,0,31,0,21,0,0,0,0,38,0,0,26,0,0,42,0,0,0,0,19,44,0,0,19,0,24,0,65,0,0,0,37,0,0,21,0,79,0,0,12,0,0,37,0,0,4,0,0,0,0,60,0,0,0,64,0,0,0,0,0,32,0,32,0,40,0,0,0,0,22,0,22,33,0,0,0,0,42,0,0,21,48,0,0,0,0,18,48,0,0,0,0,0,0,0,0,0,0,46,0,0,19,0,45,0,38,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,43,0,22,0,22,0,71,0,0,89,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,72,0,0,0,0,0,31,0,0,0,55,0,46,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,0,22,0,0,0,22,0,0,45,0,0,0,0,37,0,0,18,9,0,0,19,0,26,0,0,0,0,24,0,0,0,9,75,0,64,39,0,0,34,34,17,0,0,0,0,0,36,0,0,2,0,0,72,77,0,0,0,0,68,0,0,0
